Collection Title,"Somali Songs, 1955-1991: The Maryan “Aryette” Omar Ali Collection"
Collection Dates,Creation: 1955 - 1991
Collection Identifier,AWM Spec Coll 103
EAD ID,mus00044

Database Number,Component Title,Component Date,Start Year,End Year,Component identifier,Container info,Component type,Component creator,Digital content link,Access Note,Physical description,Level 1,Level 2
mus00044c00001,Audiocassettes,"",1955,1991,AWM Spec Coll 103,,series,,"","","", 
mus00044c00002,Sahro Axmed (Sahra Ahmed) and others,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12200",item,,"","","",Audiocassettes, 
mus00044c00081,Side A. Track 1: Wisiisi (Longing),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00082,Side A. Track 2: Carro-edeg ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00083,Side A. Track 3: Guyaal Caashaqii,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c01307,Side A. Track 4: Subcis [subgenre of qaraami songs],"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00085,"Side B. Track 1: Balanbaallis 
","",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00086,Side B. Track 2: Bal Aan Saadsho  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00167, Side B. Track 3: Dhinbilo Qudhac  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00087,Side B. Track 4: Rifdoor (Rêve d’Or),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Sahro Axmed (Sahra Ahmed) and others, 
mus00044c00003,Songs of the Play: Ninkeeda ku amaahday,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12201",item,,"","","",Audiocassettes, , 
mus00044c00088,Side A. Track 1: Ammaan aan la koobcin,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00089,Side A. Track 2: Waa Cawro (Something of which to be ashamed),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00090,Side A. Track 3: Jacaylkaygu Waa Tiro,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00091,Side A. Track 4: Gari ma ku gashaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00092,Side B. Track 1: Ayaamaha toddobada ah,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00093,Side B. Track 2: Nuxurka sheekada - Copy 1,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00094,Side B. Track 3: Hadhuub caano ah,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00095,Side B. Track 4: Soo Hor Caashaqa ,"",1974,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Songs of the Play: Ninkeeda ku amaahday, 
mus00044c00004,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12202",item,,"","","",Audiocassettes, , 
mus00044c00096,Side A. Track 1: Dhool Bari    ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00097,Side A. Track 2: Hayga Goosan   ,"",1968-07-04,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00098,Side A. Track 3: Diiggaa Habeenkii,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00099,Side A. Track 4: Yaxaas   ,"",1965-07-02,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00100,Side B. Track 1: Haweeyaay  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00101,Side B. Track 2: Jidhiidhico  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00102,Side B. Track 3: Maxaa Kula Hagaagsan   ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00103,Side B. Track 4: Illoow Illoow  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maxamed Axmed Kuluc and others (Mohamed Ahmed Kulu and others), 
mus00044c00005,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12203",item,,"","","",Audiocassettes, , 
mus00044c00104,Side A. Track 1: Badtalaale ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool), 
mus00044c00105,Side A. Track 2: Beerdilaacshe,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool), 
mus00044c00106,Side A. Track 3: Nugul,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool), 
mus00044c00107,Side B. Track 1: Hareertaada Gogosha ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool), 
mus00044c00108,Side B. Track 2: Ubax Dhashay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool), 
mus00044c00109,Side B. Track 3: Hohay Afrikaay huruddooy,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Axmed Cali Cigaal and Magool (Ahmed Ali Egal and Magool), 
mus00044c00006,Magool,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12204",item,,"","","",Audiocassettes, , 
mus00044c00110,Side A. Track 1: Shimbiryahow Ma Duushaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00111,Side A. Track 2: Kani Waa Hannadkii,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00112,Side A. Track 3: Ubax La Moodyow ,"",1965-04-05,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00113,Side A. Track 4: Jaw nabadgalyo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00114,Side B. Track 1: Webiyo Isku Oomman  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00115,Side B. Track 2: Caashaqii ku dhegatiraa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00116,Side B. Track 3: Muunisa   ,"",1968-12-10,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00117,Side B. Track 4: Kii Dhab ah Jacaylkuna,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Magool, 
mus00044c00007,Mohamed Warsame and Magool (Maxamed Warsame and Magool),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12205",item,,"","","",Audiocassettes, , 
mus00044c00118,Side A. Track 1: Hawraarsan,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00119,Side A. Track 2: Ninkii Hadimo Taliyow  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00120,Side A. Track 3: Goobyaalay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00121,Side A. Track 4: Idiley (Alternative title: Ilwaad quruxey),"",1963-04-06,"",AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00122,Side B. Track 1: Innagoo tisqaadniyo ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00123,Side B. Track 2: Dheel Dheel Ma Joogtee  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00124,Side B. Track 3: Ubaxii Baxayaay ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00125,Side B. Track 4: Hawraarsan  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Mohamed Warsame and Magool (Maxamed Warsame and Magool), 
mus00044c00008,Maryan Mursal,"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12206",item,,"","","",Audiocassettes, , 
mus00044c00126,Side A. Track 1: Ciil i galisaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00127,Side A. Track 2: Adaa Beeray Jacaylka  ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00128,Side A. Track 3: Kaaf iyo Kala-Dheeri ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00129,Side A. Track 4: Nin xun xilo ha moodina ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00130,Side B. Track 1: Miyaan jiifi karayaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00131,Side B. Track 2: Waxaa Ku Lumiyey Lacag ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00132,Side B. Track 3: Liqi Waayey,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00133,Side B. Track 4: Shakiga Iska Saar,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Maryan Mursal, 
mus00044c00009,Cabbdinuur Callaale (Abdinur Allale),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12207",item,,"","","",Audiocassettes, , 
mus00044c00134,Side A. Track 1: Carsaanyada Sideedii ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00135,Side A. Track 2: Timo Haldhaaley ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00136,Side A. Track 3: Waqtiyow ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00137,Side A. Track 4: Haddaba Yaan Eersannaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00138,Side B. Track 1: Rabbiyow i garansii ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00139,Side B. Track 2: Sow geenyadaydii,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00140,Side B. Track 3: Abkayow i daa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00141,Side B. Track 4: Waan riyoonayaa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Cabbdinuur Callaale (Abdinur Allale), 
mus00044c00010,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12208",item,,"","","",Audiocassettes, , 
mus00044c00142,Side A. Track 1: Maxaad ii macnayn kartaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00143,Side A. Track 2: Faqiirnimo iyo fakar,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00144,Side A. Track 3: Marxaba jeeddee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00145,Side A. Track 4: Ma qarsamee qunfac jacayleedeey ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00146,Side A. Track 5: Yaan u garsheegtaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00147,Side B. Track 1: Kaalay kabeebay ila dheel,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00148,Side B. Track 2: Jabaa jabaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00149,Side B. Track 3: Fikirka dhaafee ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00150,Side B. Track 4: Beerkaa i huraa ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00151,Side B. Track 5: Shoobay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Naaji, Aweys and Fadumo Qaasim (Naji, Awes, and Fadumo Kassim)", 
mus00044c00011,"Kinsi, Samatar and Shamso","",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12209",item,,"","","",Audiocassettes, , 
mus00044c00152,Side A. Track 1: Dhegahaaga i yara sii ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Kinsi, Samatar and Shamso", 
mus00044c00153,Side A. Track 2: Igu Dheeridaa (or: Bal aan dhawrno waayaha),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Kinsi, Samatar and Shamso", 
mus00044c00154,Side A. Track 3: Sida Hooyadii i Xambaartay,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Kinsi, Samatar and Shamso", 
mus00044c00155,Side B. Track 1: Waxaan Gaaxsanaadoo,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Kinsi, Samatar and Shamso", 
mus00044c00156,Side B. Track 2: Jacayl Gaaxsannaa,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Kinsi, Samatar and Shamso", 
mus00044c00157,Side B. Track 3: Tawaawac,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,"Kinsi, Samatar and Shamso", 
mus00044c00012,Hibo Maxamed and Faysal Cumar Mushteeg (Hibo Mohamed and Faisal Omar Mushteeg),"",1955,1991,AWM Spec Coll 103,"Box 1, audiocassette: AWM SC 12210",item,,"","","",Audiocassettes, , 
mus00044c00158,Side A. Track 1: Sabab Kale Ha Moodin (Hibo version),"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Hibo Maxamed and Faysal Cumar Mushteeg (Hibo Mohamed and Faisal Omar Mushteeg), 
mus00044c00159,Side A. Track 2: Had iyo Goor ,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Hibo Maxamed and Faysal Cumar Mushteeg (Hibo Mohamed and Faisal Omar Mushteeg), 
mus00044c00160,Side A. Track 3: Hay gabineh hay goyneh,"",1955,1991,AWM Spec Coll 103,,otherlevel,,"","","",Audiocassettes,Hibo Maxamed and Faysal Cumar Mushteeg (Hibo Mohamed and Faisal Omar Mushteeg), 
